pais,mes,tipo_asignacion,estado,servicios,expedientes
Argentina,2024-09,ANCLAJE BASE,CANCELADA,23,20
Argentina,2024-09,ANCLAJE BASE,CONCLUIDA,605,598
Argentina,2024-09,APP,CANCELADA,8,4
Argentina,2024-09,MANUAL,CANCELADA,9,9
Argentina,2024-09,MANUAL,CONCLUIDA,150,149
Argentina,2024-09,SIN_TIPO,CANCELADA,166,162
Argentina,2024-10,ANCLAJE APP SOA,CANCELADA,5,5
Argentina,2024-10,ANCLAJE APP SOA,CONCLUIDA,81,81
Argentina,2024-10,ANCLAJE BASE,CANCELADA,22,21
Argentina,2024-10,ANCLAJE BASE,CONCLUIDA,511,499
Argentina,2024-10,APP,CONCLUIDA,1,1
Argentina,2024-10,MANUAL,CANCELADA,40,35
Argentina,2024-10,MANUAL,CONCLUIDA,510,501
Argentina,2024-10,SIN_TIPO,CANCELADA,172,172
Argentina,2024-11,ANCLAJE APP SOA,CANCELADA,5,5
Argentina,2024-11,ANCLAJE APP SOA,CONCLUIDA,141,137
Argentina,2024-11,ANCLAJE BASE,CANCELADA,14,13
Argentina,2024-11,ANCLAJE BASE,CONCLUIDA,483,477
Argentina,2024-11,APP,CANCELADA,2,2
Argentina,2024-11,MANUAL,CANCELADA,23,19
Argentina,2024-11,MANUAL,CONCLUIDA,479,468
Argentina,2024-11,SIN_TIPO,CANCELADA,452,448
Argentina,2024-12,ANCLAJE APP SOA,CANCELADA,10,10
Argentina,2024-12,ANCLAJE APP SOA,CONCLUIDA,157,157
Argentina,2024-12,ANCLAJE BASE,CANCELADA,20,19
Argentina,2024-12,ANCLAJE BASE,CONCLUIDA,541,530
Argentina,2024-12,APP,CANCELADA,3,1
Argentina,2024-12,MANUAL,CANCELADA,51,47
Argentina,2024-12,MANUAL,CONCLUIDA,484,468
Argentina,2024-12,SIN_TIPO,CANCELADA,657,652
Argentina,2024-12,SIN_TIPO,CONCLUIDA,1,1
Argentina,2025-01,ANCLAJE APP SOA,CANCELADA,6,6
Argentina,2025-01,ANCLAJE APP SOA,CONCLUIDA,169,169
Argentina,2025-01,ANCLAJE BASE,CANCELADA,23,19
Argentina,2025-01,ANCLAJE BASE,CONCLUIDA,564,558
Argentina,2025-01,APP,CANCELADA,11,2
Argentina,2025-01,MANUAL,CANCELADA,76,56
Argentina,2025-01,MANUAL,CONCLUIDA,681,666
Argentina,2025-01,SIN_TIPO,CANCELADA,661,656
Argentina,2025-02,ANCLAJE APP SOA,CANCELADA,15,14
Argentina,2025-02,ANCLAJE APP SOA,CONCLUIDA,147,145
Argentina,2025-02,ANCLAJE BASE,CANCELADA,29,21
Argentina,2025-02,ANCLAJE BASE,CONCLUIDA,492,483
Argentina,2025-02,APP,CANCELADA,2,1
Argentina,2025-02,APP,CONCLUIDA,6,4
Argentina,2025-02,MANUAL,CANCELADA,71,65
Argentina,2025-02,MANUAL,CONCLUIDA,713,695
Argentina,2025-02,SIN_TIPO,CANCELADA,749,735
Argentina,2025-02,SIN_TIPO,CONCLUIDA,1,1
Argentina,2025-03,ANCLAJE APP SOA,CANCELADA,44,21
Argentina,2025-03,ANCLAJE APP SOA,CONCLUIDA,175,174
Argentina,2025-03,ANCLAJE BASE,CANCELADA,44,34
Argentina,2025-03,ANCLAJE BASE,CONCLUIDA,552,540
Argentina,2025-03,APP,CANCELADA,17,3
Argentina,2025-03,MANUAL,CANCELADA,57,53
Argentina,2025-03,MANUAL,CONCLUIDA,865,849
Argentina,2025-03,SIN_TIPO,CANCELADA,870,846
Argentina,2025-04,ANCLAJE APP SOA,CANCELADA,5,4
Argentina,2025-04,ANCLAJE APP SOA,CONCLUIDA,193,190
Argentina,2025-04,ANCLAJE BASE,CANCELADA,27,27
Argentina,2025-04,ANCLAJE BASE,CONCLUIDA,607,597
Argentina,2025-04,APP,CANCELADA,9,2
Argentina,2025-04,BASE AUTOMATICO,CANCELADA,13,2
Argentina,2025-04,MANUAL,CANCELADA,62,57
Argentina,2025-04,MANUAL,CONCLUIDA,793,779
Argentina,2025-04,SIN_TIPO,CANCELADA,544,536
Argentina,2025-05,ANCLAJE APP SOA,CANCELADA,18,17
Argentina,2025-05,ANCLAJE APP SOA,CONCLUIDA,252,248
Argentina,2025-05,ANCLAJE BASE,CANCELADA,22,22
Argentina,2025-05,ANCLAJE BASE,CONCLUIDA,680,666
Argentina,2025-05,MANUAL,CANCELADA,43,42
Argentina,2025-05,MANUAL,CONCLUIDA,886,869
Argentina,2025-05,SIN_TIPO,CANCELADA,425,418
Argentina,2025-05,SIN_TIPO,CONCLUIDA,1,1
Argentina,2025-06,ANCLAJE APP SOA,CANCELADA,23,18
Argentina,2025-06,ANCLAJE APP SOA,CONCLUIDA,299,297
Argentina,2025-06,ANCLAJE BASE,CANCELADA,55,28
Argentina,2025-06,ANCLAJE BASE,CONCLUIDA,667,656
Argentina,2025-06,MANUAL,CANCELADA,68,62
Argentina,2025-06,MANUAL,CONCLUIDA,841,820
Argentina,2025-06,SIN_TIPO,CANCELADA,477,460
Argentina,2025-07,ANCLAJE APP SOA,CANCELADA,27,20
Argentina,2025-07,ANCLAJE APP SOA,CONCLUIDA,353,350
Argentina,2025-07,ANCLAJE BASE,CANCELADA,63,25
Argentina,2025-07,ANCLAJE BASE,CONCLUIDA,733,717
Argentina,2025-07,APP,CANCELADA,5,2
Argentina,2025-07,MANUAL,CANCELADA,80,43
Argentina,2025-07,MANUAL,CONCLUIDA,880,858
Argentina,2025-07,SIN_TIPO,CANCELADA,439,421
Argentina,2025-08,ANCLAJE APP SOA,CANCELADA,12,11
Argentina,2025-08,ANCLAJE APP SOA,CONCLUIDA,204,201
Argentina,2025-08,ANCLAJE BASE,CANCELADA,24,18
Argentina,2025-08,ANCLAJE BASE,CONCLUIDA,745,727
Argentina,2025-08,APP,CANCELADA,3,3
Argentina,2025-08,BASE AUTOMATICO,CANCELADA,1,1
Argentina,2025-08,MANUAL,CANCELADA,47,42
Argentina,2025-08,MANUAL,CONCLUIDA,862,849
Argentina,2025-08,SIN_TIPO,CANCELADA,616,578
Argentina,2025-09,ANCLAJE APP SOA,CANCELADA,20,16
Argentina,2025-09,ANCLAJE APP SOA,CONCLUIDA,242,239
Argentina,2025-09,ANCLAJE BASE,CANCELADA,42,31
Argentina,2025-09,ANCLAJE BASE,CONCLUIDA,901,890
Argentina,2025-09,MANUAL,CANCELADA,78,41
Argentina,2025-09,MANUAL,CONCLUIDA,878,863
Argentina,2025-09,SIN_TIPO,CANCELADA,730,709
Argentina,2025-10,ANCLAJE APP SOA,CANCELADA,19,13
Argentina,2025-10,ANCLAJE APP SOA,CONCLUIDA,243,239
Argentina,2025-10,ANCLAJE APP SOA,PROCESO,22,22
Argentina,2025-10,ANCLAJE BASE,CANCELADA,67,57
Argentina,2025-10,ANCLAJE BASE,CONCLUIDA,849,840
Argentina,2025-10,ANCLAJE BASE,PROCESO,51,51
Argentina,2025-10,APP,CANCELADA,3,2
Argentina,2025-10,APP,CONCLUIDA,7,3
Argentina,2025-10,MANUAL,CANCELADA,82,63
Argentina,2025-10,MANUAL,CONCLUIDA,771,761
Argentina,2025-10,MANUAL,PROCESO,94,92
Argentina,2025-10,SIN_TIPO,CANCELADA,789,758
Argentina,2025-10,SIN_TIPO,CONCLUIDA,1,1
Argentina,2025-10,SIN_TIPO,PROCESO,2,2
Bolivia,2023-10,ANCLAJE,CANCELADA,5,1
Bolivia,2023-10,ANCLAJE,CONCLUIDA,9,1
Bolivia,2023-10,APP,CANCELADA,5,3
Bolivia,2023-10,APP,CONCLUIDA,2,1
Bolivia,2023-10,MANUAL,CANCELADA,5,3
Bolivia,2023-10,MANUAL,CONCLUIDA,1,1
Bolivia,2023-10,SIN_TIPO,CANCELADA,10,6
Bolivia,2023-11,ANCLAJE,CANCELADA,18,7
Bolivia,2023-11,ANCLAJE,CONCLUIDA,6,3
Bolivia,2023-11,APP,CANCELADA,32,10
Bolivia,2023-11,APP,CONCLUIDA,50,4
Bolivia,2023-11,MANUAL,CANCELADA,136,105
Bolivia,2023-11,MANUAL,CONCLUIDA,1452,1348
Bolivia,2023-11,SIN_TIPO,CANCELADA,158,134
Bolivia,2023-11,SIN_TIPO,CONCLUIDA,9,9
Bolivia,2023-12,ANCLAJE,CANCELADA,2,2
Bolivia,2023-12,ANCLAJE,CONCLUIDA,3,3
Bolivia,2023-12,APP,CANCELADA,14,3
Bolivia,2023-12,APP,CONCLUIDA,5,4
Bolivia,2023-12,MANUAL,CANCELADA,119,104
Bolivia,2023-12,MANUAL,CONCLUIDA,1877,1672
Bolivia,2023-12,SIN_TIPO,CANCELADA,160,145
Bolivia,2023-12,SIN_TIPO,CONCLUIDA,5,5
Bolivia,2024-01,ANCLAJE,CANCELADA,11,8
Bolivia,2024-01,ANCLAJE,CONCLUIDA,38,30
Bolivia,2024-01,APP,CANCELADA,77,48
Bolivia,2024-01,APP,CONCLUIDA,50,37
Bolivia,2024-01,MANUAL,CANCELADA,169,136
Bolivia,2024-01,MANUAL,CONCLUIDA,1627,1473
Bolivia,2024-01,SIN_TIPO,CANCELADA,192,176
Bolivia,2024-01,SIN_TIPO,CONCLUIDA,11,11
Bolivia,2024-02,ANCLAJE,CANCELADA,16,13
Bolivia,2024-02,ANCLAJE,CONCLUIDA,171,146
Bolivia,2024-02,APP,CANCELADA,22,16
Bolivia,2024-02,APP,CONCLUIDA,93,92
Bolivia,2024-02,MANUAL,CANCELADA,169,130
Bolivia,2024-02,MANUAL,CONCLUIDA,1469,1356
Bolivia,2024-02,SIN_TIPO,CANCELADA,143,120
Bolivia,2024-02,SIN_TIPO,CONCLUIDA,2,2
Bolivia,2024-03,ANCLAJE,CANCELADA,15,14
Bolivia,2024-03,ANCLAJE,CONCLUIDA,183,162
Bolivia,2024-03,APP,CANCELADA,17,14
Bolivia,2024-03,APP,CONCLUIDA,153,150
Bolivia,2024-03,MANUAL,CANCELADA,193,159
Bolivia,2024-03,MANUAL,CONCLUIDA,1469,1319
Bolivia,2024-03,SIN_TIPO,CANCELADA,318,241
Bolivia,2024-03,SIN_TIPO,CONCLUIDA,8,8
Bolivia,2024-04,ANCLAJE,CANCELADA,3,3
Bolivia,2024-04,ANCLAJE,CONCLUIDA,97,81
Bolivia,2024-04,ANCLAJE APP,CANCELADA,11,10
Bolivia,2024-04,ANCLAJE APP,CONCLUIDA,165,136
Bolivia,2024-04,APP,CANCELADA,9,9
Bolivia,2024-04,APP,CONCLUIDA,91,90
Bolivia,2024-04,MANUAL,CANCELADA,159,136
Bolivia,2024-04,MANUAL,CONCLUIDA,1445,1333
Bolivia,2024-04,SIN_TIPO,CANCELADA,190,178
Bolivia,2024-04,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2024-05,ANCLAJE APP,CANCELADA,18,16
Bolivia,2024-05,ANCLAJE APP,CONCLUIDA,297,256
Bolivia,2024-05,APP,CONCLUIDA,47,47
Bolivia,2024-05,MANUAL,CANCELADA,153,137
Bolivia,2024-05,MANUAL,CONCLUIDA,1446,1348
Bolivia,2024-05,SIN_TIPO,CANCELADA,215,207
Bolivia,2024-06,ANCLAJE APP,CANCELADA,15,14
Bolivia,2024-06,ANCLAJE APP,CONCLUIDA,223,189
Bolivia,2024-06,APP,CANCELADA,10,8
Bolivia,2024-06,APP,CONCLUIDA,102,98
Bolivia,2024-06,MANUAL,CANCELADA,137,123
Bolivia,2024-06,MANUAL,CONCLUIDA,1379,1280
Bolivia,2024-06,SIN_TIPO,CANCELADA,184,173
Bolivia,2024-07,ANCLAJE APP,CANCELADA,17,16
Bolivia,2024-07,ANCLAJE APP,CONCLUIDA,255,224
Bolivia,2024-07,ANCLAJE APP SOA,CONCLUIDA,33,29
Bolivia,2024-07,APP,CANCELADA,9,8
Bolivia,2024-07,APP,CONCLUIDA,119,119
Bolivia,2024-07,MANUAL,CANCELADA,165,145
Bolivia,2024-07,MANUAL,CONCLUIDA,1341,1221
Bolivia,2024-07,SIN_TIPO,CANCELADA,155,147
Bolivia,2024-08,ANCLAJE APP SOA,CANCELADA,62,61
Bolivia,2024-08,ANCLAJE APP SOA,CONCLUIDA,307,273
Bolivia,2024-08,APP,CANCELADA,4,3
Bolivia,2024-08,APP,CONCLUIDA,74,72
Bolivia,2024-08,MANUAL,CANCELADA,102,88
Bolivia,2024-08,MANUAL,CONCLUIDA,1321,1224
Bolivia,2024-08,SIN_TIPO,CANCELADA,152,143
Bolivia,2024-09,ANCLAJE APP SOA,CANCELADA,159,134
Bolivia,2024-09,ANCLAJE APP SOA,CONCLUIDA,1046,899
Bolivia,2024-09,APP,CANCELADA,1,1
Bolivia,2024-09,APP,CONCLUIDA,5,5
Bolivia,2024-09,MANUAL,CANCELADA,56,55
Bolivia,2024-09,MANUAL,CONCLUIDA,585,567
Bolivia,2024-09,SIN_TIPO,CANCELADA,169,162
Bolivia,2024-10,ANCLAJE APP SOA,CANCELADA,20,18
Bolivia,2024-10,ANCLAJE APP SOA,CONCLUIDA,222,189
Bolivia,2024-10,APP,CANCELADA,8,7
Bolivia,2024-10,APP,CONCLUIDA,110,107
Bolivia,2024-10,MANUAL,CANCELADA,222,194
Bolivia,2024-10,MANUAL,CONCLUIDA,1450,1336
Bolivia,2024-10,SIN_TIPO,CANCELADA,235,223
Bolivia,2024-11,ANCLAJE APP SOA,CANCELADA,20,17
Bolivia,2024-11,ANCLAJE APP SOA,CONCLUIDA,257,215
Bolivia,2024-11,APP,CANCELADA,16,13
Bolivia,2024-11,APP,CONCLUIDA,136,130
Bolivia,2024-11,MANUAL,CANCELADA,250,235
Bolivia,2024-11,MANUAL,CONCLUIDA,1342,1233
Bolivia,2024-11,SIN_TIPO,CANCELADA,258,250
Bolivia,2024-11,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2024-12,ANCLAJE APP SOA,CANCELADA,30,29
Bolivia,2024-12,ANCLAJE APP SOA,CONCLUIDA,319,273
Bolivia,2024-12,APP,CANCELADA,9,9
Bolivia,2024-12,APP,CONCLUIDA,96,96
Bolivia,2024-12,MANUAL,CANCELADA,263,246
Bolivia,2024-12,MANUAL,CONCLUIDA,1276,1160
Bolivia,2024-12,SIN_TIPO,CANCELADA,183,152
Bolivia,2024-12,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2025-01,ANCLAJE APP SOA,CANCELADA,27,27
Bolivia,2025-01,ANCLAJE APP SOA,CONCLUIDA,410,349
Bolivia,2025-01,APP,CANCELADA,3,3
Bolivia,2025-01,APP,CONCLUIDA,51,51
Bolivia,2025-01,MANUAL,CANCELADA,257,184
Bolivia,2025-01,MANUAL,CONCLUIDA,1246,1132
Bolivia,2025-01,SIN_TIPO,CANCELADA,214,205
Bolivia,2025-01,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2025-02,ANCLAJE APP SOA,CANCELADA,23,21
Bolivia,2025-02,ANCLAJE APP SOA,CONCLUIDA,397,323
Bolivia,2025-02,ANCLAJE BASE,CANCELADA,3,1
Bolivia,2025-02,APP,CANCELADA,10,6
Bolivia,2025-02,APP,CONCLUIDA,29,23
Bolivia,2025-02,MANUAL,CANCELADA,193,180
Bolivia,2025-02,MANUAL,CONCLUIDA,1171,1076
Bolivia,2025-02,SIN_TIPO,CANCELADA,178,152
Bolivia,2025-03,ANCLAJE APP SOA,CANCELADA,25,20
Bolivia,2025-03,ANCLAJE APP SOA,CONCLUIDA,387,323
Bolivia,2025-03,ANCLAJE BASE,CANCELADA,1,1
Bolivia,2025-03,APP,CANCELADA,5,3
Bolivia,2025-03,APP,CONCLUIDA,10,10
Bolivia,2025-03,MANUAL,CANCELADA,178,165
Bolivia,2025-03,MANUAL,CONCLUIDA,1160,1076
Bolivia,2025-03,SIN_TIPO,CANCELADA,178,165
Bolivia,2025-03,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2025-04,ANCLAJE APP SOA,CANCELADA,24,19
Bolivia,2025-04,ANCLAJE APP SOA,CONCLUIDA,295,256
Bolivia,2025-04,MANUAL,CANCELADA,261,233
Bolivia,2025-04,MANUAL,CONCLUIDA,1150,1048
Bolivia,2025-04,SIN_TIPO,CANCELADA,158,147
Bolivia,2025-05,ANCLAJE APP SOA,CANCELADA,25,22
Bolivia,2025-05,ANCLAJE APP SOA,CONCLUIDA,263,235
Bolivia,2025-05,APP,CONCLUIDA,1,1
Bolivia,2025-05,MANUAL,CANCELADA,262,241
Bolivia,2025-05,MANUAL,CONCLUIDA,1254,1144
Bolivia,2025-05,SIN_TIPO,CANCELADA,138,128
Bolivia,2025-05,SIN_TIPO,CONCLUIDA,1,1
Bolivia,2025-06,ANCLAJE APP SOA,CANCELADA,6,6
Bolivia,2025-06,ANCLAJE APP SOA,CONCLUIDA,227,207
Bolivia,2025-06,APP,CANCELADA,1,1
Bolivia,2025-06,APP,CONCLUIDA,2,2
Bolivia,2025-06,MANUAL,CANCELADA,247,222
Bolivia,2025-06,MANUAL,CONCLUIDA,1096,1001
Bolivia,2025-06,SIN_TIPO,CANCELADA,160,146
Bolivia,2025-07,ANCLAJE APP SOA,CANCELADA,25,19
Bolivia,2025-07,ANCLAJE APP SOA,CONCLUIDA,218,187
Bolivia,2025-07,APP,CANCELADA,4,2
Bolivia,2025-07,APP,CONCLUIDA,3,3
Bolivia,2025-07,MANUAL,CANCELADA,279,220
Bolivia,2025-07,MANUAL,CONCLUIDA,931,836
Bolivia,2025-07,SIN_TIPO,CANCELADA,154,137
Bolivia,2025-08,ANCLAJE APP SOA,CANCELADA,21,19
Bolivia,2025-08,ANCLAJE APP SOA,CONCLUIDA,165,144
Bolivia,2025-08,APP,CANCELADA,1,1
Bolivia,2025-08,APP,CONCLUIDA,11,11
Bolivia,2025-08,BASE AUTOMATICO,CANCELADA,1,1
Bolivia,2025-08,MANUAL,CANCELADA,193,153
Bolivia,2025-08,MANUAL,CONCLUIDA,748,688
Bolivia,2025-08,SIN_TIPO,CANCELADA,105,102
Bolivia,2025-09,ANCLAJE APP SOA,CANCELADA,34,29
Bolivia,2025-09,ANCLAJE APP SOA,CONCLUIDA,248,200
Bolivia,2025-09,APP,CANCELADA,11,2
Bolivia,2025-09,APP,CONCLUIDA,3,3
Bolivia,2025-09,MANUAL,CANCELADA,266,197
Bolivia,2025-09,MANUAL,CONCLUIDA,758,688
Bolivia,2025-09,SIN_TIPO,CANCELADA,129,120
Bolivia,2025-09,SIN_TIPO,PROCESO,1,1
Bolivia,2025-10,ANCLAJE APP SOA,CANCELADA,25,22
Bolivia,2025-10,ANCLAJE APP SOA,CONCLUIDA,216,188
Bolivia,2025-10,ANCLAJE APP SOA,PROCESO,22,21
Bolivia,2025-10,APP,CANCELADA,2,1
Bolivia,2025-10,APP,CONCLUIDA,1,1
Bolivia,2025-10,MANUAL,CANCELADA,177,139
Bolivia,2025-10,MANUAL,CONCLUIDA,594,541
Bolivia,2025-10,MANUAL,PROCESO,86,84
Bolivia,2025-10,SIN_TIPO,CANCELADA,107,101
Bolivia,2025-10,SIN_TIPO,PROCESO,11,11
Chile,2023-08,APP,CANCELADA,7,5
Chile,2023-08,APP,CONCLUIDA,3,2
Chile,2023-08,MANUAL,CANCELADA,5,2
Chile,2023-08,MANUAL,CONCLUIDA,4,4
Chile,2023-08,SIN_TIPO,CANCELADA,13,5
Chile,2023-09,APP,CANCELADA,25,9
Chile,2023-09,APP,CONCLUIDA,38,9
Chile,2023-09,MANUAL,CANCELADA,49,13
Chile,2023-09,MANUAL,CONCLUIDA,46,14
Chile,2023-09,SIN_TIPO,CANCELADA,58,26
Chile,2023-10,APP,CANCELADA,16,6
Chile,2023-10,APP,CONCLUIDA,8,5
Chile,2023-10,MANUAL,CANCELADA,489,368
Chile,2023-10,MANUAL,CONCLUIDA,683,491
Chile,2023-10,SIN_TIPO,CANCELADA,643,556
Chile,2023-10,SIN_TIPO,CONCLUIDA,13,13
Chile,2023-11,APP,CONCLUIDA,4,2
Chile,2023-11,MANUAL,CANCELADA,406,324
Chile,2023-11,MANUAL,CONCLUIDA,815,677
Chile,2023-11,SIN_TIPO,CANCELADA,758,640
Chile,2023-11,SIN_TIPO,CONCLUIDA,6,6
Chile,2023-12,APP,CANCELADA,3,2
Chile,2023-12,MANUAL,CANCELADA,406,290
Chile,2023-12,MANUAL,CONCLUIDA,759,600
Chile,2023-12,SIN_TIPO,CANCELADA,560,500
Chile,2023-12,SIN_TIPO,CONCLUIDA,6,6
Chile,2024-01,MANUAL,CANCELADA,472,388
Chile,2024-01,MANUAL,CONCLUIDA,780,629
Chile,2024-01,SIN_TIPO,CANCELADA,575,521
Chile,2024-01,SIN_TIPO,CONCLUIDA,20,20
Chile,2024-02,APP,CANCELADA,1,1
Chile,2024-02,MANUAL,CANCELADA,383,303
Chile,2024-02,MANUAL,CONCLUIDA,687,527
Chile,2024-02,SIN_TIPO,CANCELADA,588,537
Chile,2024-02,SIN_TIPO,CONCLUIDA,15,15
Chile,2024-03,ANCLAJE,CANCELADA,21,13
Chile,2024-03,ANCLAJE,CONCLUIDA,7,7
Chile,2024-03,MANUAL,CANCELADA,472,371
Chile,2024-03,MANUAL,CONCLUIDA,783,613
